Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HDFS-16300,13410040,Use libcrypto in Windows for libhdfspp,gaurava,gaurava,Blocker,Resolved,Fixed,04/Nov/21 12:41,07/Nov/21 18:47,11/Nov/21 00:00
Bug,HDFS-15113,13278857,Missing IBR when NameNode restart if open processCommand async feature,hexiaoqiao,hexiaoqiao,Blocker,Resolved,Fixed,11/Jan/20 11:49,22/Sep/21 10:31,
Bug,HDFS-15240,13293750,Erasure Coding: dirty buffer causes reconstruction block error,marvelrock,marvelrock,Blocker,Resolved,Fixed,25/Mar/20 08:19,13/Sep/21 07:33,
Bug,HDFS-15421,13312494,IBR leak causes standby NN to be stuck in safe mode,aajisaka,kihwal,Blocker,Resolved,Fixed,19/Jun/20 14:31,10/Jun/21 07:43,
Bug,HDFS-16027,13378757, HDFS-15245 breaks source code compatibility between 3.3.0 and 3.3.1.,weichiu,weichiu,Blocker,Resolved,Fixed,17/May/21 09:07,19/May/21 02:49,
Bug,HDFS-16001,13375706,TestOfflineEditsViewer.testStored() fails reading negative value of FSEditLogOpCodes,aajisaka,shv,Blocker,Resolved,Fixed,28/Apr/21 22:55,08/May/21 05:32,
Bug,HDFS-15566,13326716,NN restart fails after RollingUpgrade from  3.1.3/3.2.1 to 3.3.0,brahmareddy,brahmareddy,Blocker,Resolved,Fixed,09/Sep/20 17:45,03/May/21 18:04,
Bug,HDFS-15302,13301398,Backport HDFS-15286 to branch-2.x,hemanthboyina,aajisaka,Blocker,Resolved,Fixed,27/Apr/20 21:39,01/May/20 06:31,
Bug,HDFS-15205,13289368,FSImage sort section logic is wrong,,angerszhuuu,Blocker,Resolved,Fixed,04/Mar/20 01:39,23/Apr/20 07:02,
Bug,HDFS-15269,13296957,NameNode should check the authorization API version only once during initialization,weichiu,weichiu,Blocker,Resolved,Fixed,08/Apr/20 00:46,09/Apr/20 17:46,
Bug,HDFS-15234,13293375,Add a default method body for the INodeAttributeProvider#checkPermissionWithContext API,weichiu,weichiu,Blocker,Resolved,Fixed,23/Mar/20 20:18,25/Mar/20 23:17,
Bug,HDFS-15012,13270559,NN fails to parse Edit logs after applying HDFS-13101,shashikant,ericlin,Blocker,Resolved,Fixed,25/Nov/19 23:23,18/Dec/19 18:12,
Bug,HDFS-14910,13262902,Rename Snapshot with Pre Descendants Fail With IllegalArgumentException.,weichiu,elgoiri,Blocker,Resolved,Fixed,17/Oct/19 16:35,24/Oct/19 20:26,
Bug,HDFS-14890,13260344,Setting permissions on name directory fails on non posix compliant filesystems,swagle,hirik,Blocker,Resolved,Fixed,03/Oct/19 16:49,15/Oct/19 18:45,
Bug,HDFS-14509,13235126,DN throws InvalidToken due to inequality of password when upgrade NN 2.x to 3.x,John Smith,John Smith,Blocker,Resolved,Fixed,23/May/19 12:42,10/Oct/19 20:31,
Bug,HDFS-14595,13240901,HDFS-11848 breaks API compatibility,smeng,weichiu,Blocker,Resolved,Fixed,21/Jun/19 16:02,02/Oct/19 17:15,
Bug,HDFS-14724,13250325,Fix JDK7 compatibility in branch-2,vagarychen,weichiu,Blocker,Resolved,Fixed,12/Aug/19 16:42,02/Oct/19 17:15,
Bug,HDFS-14821,13254835,Make HDFS-14617 (fsimage sub-sections) off by default,sodonnell,sodonnell,Blocker,Resolved,Fixed,04/Sep/19 17:28,13/Sep/19 17:38,
Bug,HDFS-14726,13250362,Fix JN incompatibility issue in branch-2 due to backport of HDFS-10519,vagarychen,vagarychen,Blocker,Resolved,Fixed,12/Aug/19 20:36,30/Aug/19 22:57,
Bug,HDFS-16422,13422402,Fix thread safety of EC decoding during concurrent preads,cndaimin,cndaimin,Critical,Resolved,Fixed,13/Jan/22 06:35,18/Feb/22 15:33,13/Jan/22 00:00
Bug,HDFS-16420,13421650,Avoid deleting unique data blocks when deleting redundancy striped blocks,JacksonWang,qinyuren,Critical,Resolved,Fixed,10/Jan/22 09:33,18/Feb/22 05:57,
Bug,HDFS-16437,13424612,ReverseXML processor doesn't accept XML files without the SnapshotDiffSection.,it_singer,it_singer,Critical,Resolved,Fixed,25/Jan/22 07:48,06/Feb/22 09:40,
Bug,HDFS-15929,13368162,Replace RAND_pseudo_bytes in util.cc,gaurava,gaurava,Critical,Resolved,Fixed,28/Mar/21 09:00,21/Jan/22 10:55,29/Mar/21 00:00
Bug,HDFS-15186,13286407,Erasure Coding: Decommission may generate the parity block's content with all 0 in some case,yaoguangdong,yaoguangdong,Critical,Resolved,Fixed,20/Feb/20 08:25,04/Jan/22 04:32,
Bug,HDFS-15963,13370827,Unreleased volume references cause an infinite loop,zhangshuyan,zhangshuyan,Critical,Resolved,Fixed,10/Apr/21 15:32,18/Nov/21 07:46,
Bug,HDFS-16272,13406296,Int overflow in computing safe length during EC block recovery,cndaimin,cndaimin,Critical,Resolved,Fixed,13/Oct/21 07:43,18/Oct/21 11:42,
Bug,HDFS-16181,13396336,[SBN Read] Fix metric of RpcRequestCacheMissAmount can't display when tailEditLog form JN,wangzhaohui,wangzhaohui,Critical,Resolved,Fixed,20/Aug/21 10:32,04/Oct/21 16:39,
Bug,HDFS-15910,13366558,Replace bzero with explicit_bzero for better safety,gaurava,gaurava,Critical,Resolved,Fixed,21/Mar/21 07:03,24/Sep/21 20:58,21/Mar/21 00:00
Bug,HDFS-15719,13344973,[Hadoop 3] Both NameNodes can crash simultaneously due to the short JN socket timeout,weichiu,weichiu,Critical,Resolved,Fixed,09/Dec/20 03:24,17/Aug/21 03:28,
Bug,HDFS-15175,13285725,Multiple CloseOp shared block instance causes the standby namenode to crash when rolling editlog,wanchang,caiyicong,Critical,Resolved,Fixed,17/Feb/20 09:40,29/Jul/21 11:15,
Bug,HDFS-15796,13355091,ConcurrentModificationException error happens on NameNode occasionally,Daniel Ma,Daniel Ma,Critical,Resolved,Fixed,28/Jan/21 06:23,09/Jul/21 09:50,
Bug,HDFS-15187,13286517,CORRUPT replica mismatch between namenodes after failover,ayushtkn,ayushtkn,Critical,Resolved,Fixed,20/Feb/20 16:04,10/Jun/21 07:44,
Bug,HDFS-15200,13288859,Delete Corrupt Replica Immediately Irrespective of Replicas On Stale Storage ,ayushtkn,ayushtkn,Critical,Resolved,Fixed,02/Mar/20 12:13,10/Jun/21 07:44,
Bug,HDFS-15293,13300047,Relax the condition for accepting a fsimage when receiving a checkpoint ,vagarychen,vagarychen,Critical,Resolved,Fixed,21/Apr/20 18:02,10/Jun/21 07:44,
Bug,HDFS-15422,13312500,Reported IBR is partially replaced with stored info when queuing.,sodonnell,kihwal,Critical,Resolved,Fixed,19/Jun/20 15:06,10/Jun/21 07:44,
Bug,HDFS-15641,13336061,DataNode could meet deadlock if invoke refreshNameNode,wanghongbing,wanghongbing,Critical,Resolved,Fixed,19/Oct/20 12:28,10/Jun/21 07:44,
Bug,HDFS-15948,13369342,Fix test4tests for libhdfspp,gaurava,gaurava,Critical,Resolved,Fixed,02/Apr/21 18:15,10/Jun/21 07:44,09/Apr/21 00:00
Bug,HDFS-15170,13285369,EC: Block gets marked as CORRUPT in case of failover and pipeline recovery,ayushtkn,ayushtkn,Critical,Resolved,Fixed,14/Feb/20 16:30,10/Jun/21 07:43,
Bug,HDFS-15947,13369338,Replace deprecated protobuf APIs,gaurava,gaurava,Critical,Resolved,Fixed,02/Apr/21 18:01,05/Apr/21 16:53,03/Apr/21 00:00
Bug,HDFS-15944,13369254,Prevent truncation by snprintf,gaurava,gaurava,Critical,Resolved,Fixed,02/Apr/21 07:43,02/Apr/21 16:38,03/Apr/21 00:00
Bug,HDFS-15196,13288167,RBF: RouterRpcServer getListing cannot list large dirs correctly,fengnanli,fengnanli,Critical,Resolved,Fixed,27/Feb/20 23:53,02/Apr/21 09:56,
Bug,HDFS-15510,13320625,RBF: Quota and Content Summary was not correct in Multiple Destinations,hemanthboyina,hemanthboyina,Critical,Resolved,Fixed,03/Aug/20 09:38,02/Apr/21 09:55,
Bug,HDFS-15928,13368115,Replace RAND_pseudo_bytes in rpc_engine.cc,gaurava,gaurava,Critical,Resolved,Fixed,27/Mar/21 16:54,30/Mar/21 17:37,28/Mar/21 00:00
